,defn,sentence,list1,list2,gptlist,f1,dataset,id,num,gptcorrect,gptcorrect_agreement,truecorrect,truecorrect_agreement,gptbetter,gptbetter_agreement,gptworse,gptworse_agreement,gptmissing,gptextra,truemissing,trueextra
18,"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","Schweickart is a Fellow of the American Astronautical Society , the International Academy of Astronautics and the California Academy of Sciences , as well as an Associate Fellow of the American Institute of Aeronautics and Astronautics .","schweickart, fellow of the american astronautical society, california academy of sciences, international academy of astronautics, american institute of aeronautics and astronautics","american institute of aeronautics and astronautics, american astronautical society, international academy of astronautics, california academy of sciences, schweickart",2,0.8,science,18,3.0,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.3333333333333333
19,"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","Since 2001 , the dominance of traditional boy bands on pop charts began to fade in the western hemisphere , although Gil Kaufman of MTV has described new boy bands that are more likely to resemble My Chemical Romance , Sum 41 , and Simple Plan .","simple plan, gil kaufman, western hemisphere, sum 41, my chemical romance, mtv","gil kaufman, simple plan, mtv, western hemisphere, my chemical romance, pop, sum 41",1,0.9230769230769232,music,19,3.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333
20,"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location",", ( 2002 ) as the automatic metric for Machine translation ( MT ) evaluation , many other methods have been proposed to revise or improve it , such as TER , METEOR , Banerjee and Lavie , ( 2005 ) etc .","mt, machine translation, ter, lavie, meteor, banerjee","banerjee, machine translation (mt, lavie, meteor, ter",2,0.7272727272727273,ai,20,3.0,0.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.0
21,"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","This binding results in the activation of a signalling pathway which allows for the transcription factor NF-κB to enter the nucleus of the macrophage and initiate the transcription and eventual secretion of various cytokines such as Il-8 , Interleukin-1 family , and TNFα .","interleukin-1 family, nf-κb, il-8, tnfα","transcription factor nf-κb, macrophage, signalling pathway, interleukin-1 family, il-8, cytokines, tnfα",2,0.5454545454545454,science,21,3.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,1.0,1.0,3.0,0.0
22,"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","The same boundaries were used in the 1922 United Kingdom general election , the 1923 United Kingdom general election , the 1924 United Kingdom general election , the 1929 United Kingdom general election , the 1931 United Kingdom general election , the 1935 United Kingdom general election and the 1945 United Kingdom general election .","1945 united kingdom general election, 1929 united kingdom general election, 1931 united kingdom general election, 1935 united kingdom general election, 1923 united kingdom general election, 1924 united kingdom general election, 1922 united kingdom general election","1935 united kingdom general election, 1931 united kingdom general election, 1922 united kingdom general election, united kingdom, 1923 united kingdom general election, 1929 united kingdom general election, 1924 united kingdom general election, 1945 united kingdom general election",2,0.9333333333333332,pol,22,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0
23,"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","Most of the outer irregular moon s of Jupiter and Saturn also have retrograde orbits , as do some of Uranus ' s outer moons .","irregular moon, uranus, saturn, jupiter","jupiter, outer irregular moons, uranus, saturn, retrograde orbits",2,0.6666666666666666,science,23,3.0,0.0,0.5,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
24,"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","In 1857 , at the request of the Tokugawa Shogunate , a group of Dutch engineers began work on the Nagasaki Yotetsusho , a modern , Western-style foundry and shipyard near the Dutch settlement of Dejima , at Nagasaki .","dejima, tokugawa shogunate, dutch, dutch, nagasaki, nagasaki yotetsusho","nagasaki yotetsusho, dutch engineers, dejima, nagasaki, tokugawa shogunate",2,0.8,ai,24,3.0,0.0,0.5,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0
25,"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","The remainder were distributed off a ferry near Hong Kong , the ferry between Hainan Island and the Chinese mainland , a ferry in Vietnam , White 's Ferry on the Potomac River in Virginia on Father 's Day 2007 , and on author H. P. Lovecraft ' s grave in Providence , Rhode Island on December 17 , 2005 .","hong kong, h. p. lovecraft, father 's day, white 's ferry, providence, virginia, hainan island, chinese mainland, rhode island, potomac river, vietnam","chinese mainland, providence, h. p. lovecraft, virginia, hainan island, vietnam, white's ferry, rhode island, hong kong, potomac river",2,0.8571428571428571,lit,25,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.3333333333333333,0.0,0.0,0.0
26,"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","Such mass wasting occurs on both terrestrial and submarine slopes , and has been observed on Earth , Mars , Venus , Titan and Iapetus .","iapetus, mass wasting, earth, titan, venus, mars","mars, venus, earth, iapetus, titan",1,0.9090909090909092,science,26,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
27,"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location",An example of a typical computer vision computation pipeline for Facial recognition system using k -NN including feature extraction and dimension reduction pre-processing steps ( usually implemented with OpenCV ) :,"feature extraction, opencv, k -nn, computer vision, dimension reduction, facial recognition system","facial recognition system, feature extraction, computer vision, dimension reduction, k-nn (k-nearest neighbors, opencv",2,0.8333333333333334,ai,27,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0
28,"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","Michael Bloomberg , formerly a Democrat , was elected as a Republican in 2001 New York City mayoral election and 2005 New York City mayoral election , succeeding another Republican mayor , Rudy Giuliani , elected in 1993 and 1997 New York City mayoral election .","democrat, republican, republican, 2001 new york city mayoral election, 1993 and 1997 new york city mayoral election, 2005 new york city mayoral election, rudy giuliani, michael bloomberg","republican, democrat, michael bloomberg, 1993 new york city mayoral election, 1997 new york city mayoral election, rudy giuliani, 2005 new york city mayoral election, 2001 new york city mayoral election, new york city",2,0.75,pol,28,3.0,1.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333
29,"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","Many families of proteins act as negative regulators categorized into either antiapoptotic factors , such as IAP nowiki / s and Bcl-2 family proteins or prosurvival factors like cFLIP , BNIP3 , FADD , Protein kinase B , and NF-κB .","proteins, nf-κb, fadd, bcl-2 family proteins, antiapoptotic factors, bnip3, protein kinase b, cflip, prosurvival factors","nf-κb, fadd, cflip, bcl-2 family, iap, bnip3, protein kinase b",1,0.625,science,29,3.0,0.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,2.0,0.6666666666666666,0.0
30,"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","Since 2008 it was part of the Sammarinese Union of Moderates together with Sammarinese Populars and stood in opposition to the 2006-2008 coalition government consisting of the Party of Socialists and Democrats , the Popular Alliance and the United Left .","party of socialists and democrats, popular alliance, united left, 2006-2008 coalition government, sammarinese union of moderates, sammarinese populars","party of socialists and democrats, sammarinese populars, sammarinese union of moderates, united left, popular alliance",1,0.9090909090909092,pol,30,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
31,"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","William F. Buckley , Jr and other contributors for the National Review magazine .","william f. buckley jr, national review magazine","william f. buckley , jr, national review",1,0.0,lit,31,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,1.6666666666666667
32,"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","In Kota Kinabalu , United Pasokmomogun Kadazandusun Murut Organisation ( UPKO ) led by its Secretary-General Datuk Wilfred Madius Tangau , on 23 September 2008 , joined its 3 other Barisan Nasional ( BN ) counterparts Malaysian Chinese Association , Parti Gerakan Rakyat Malaysia and Malaysian Indian Congress , petitioning Government review of ISA .","wilfred madius tangau, upko, malaysian indian congress, kota kinabalu, bn, malaysian chinese association, parti gerakan rakyat malaysia, barisan nasional, united pasokmomogun kadazandusun murut organisation","malaysian indian congress, barisan nasional (bn, isa, malaysian chinese association, united pasokmomogun kadazandusun murut organisation (upko, datuk wilfred madius tangau, kota kinabalu, parti gerakan rakyat malaysia",2,0.4705882352941176,pol,32,3.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,1.3333333333333333,0.3333333333333333
33,"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","Time series are used in statistics , signal processing , pattern recognition , econometrics , mathematical finance , weather forecasting , earthquake prediction , electroencephalography , control engineering , astronomy , communications engineering , and largely in any domain of applied science and engineering which involves temporal measurements .","pattern recognition, statistics, earthquake prediction, control engineering, communications engineering, time series, econometrics, weather forecasting, signal processing, astronomy, mathematical finance, applied science, electroencephalography","econometrics, pattern recognition, signal processing, mathematical finance, weather forecasting, communications engineering, control engineering, statistics, earthquake prediction",2,0.8181818181818182,ai,33,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.5,0.0,0.5,0.5
34,"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","The Party stood one candidate , John Morris , in the 1997 United Kingdom general election and 2001 United Kingdom general election in the Guildford constituency , and two in the 2005 United Kingdom general election with Caroline O 'Reilly also standing in Brighton Kemptown .","2005 united kingdom general election, 1997 united kingdom general election, 2001 united kingdom general election, john morris, guildford, brighton kemptown","caroline o'reilly, john morris, brighton kemptown, 1997 united kingdom general election, 2001 united kingdom general election, 2005 united kingdom general election, guildford constituency, the party",2,0.7142857142857143,pol,34,3.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,2.3333333333333335,0.0
35,"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","Somatic enrichment for transversion mutations ( G : CT : A ) has been associated with base excision repair ( BER ) deficiency and linked to defective MUTYH , a DNA glycosylase , in colorectal cancer .","ber, colorectal cancer, dna glycosylase, transversion, base excision repair, mutyh","transversion mutations, dna glycosylase, somatic enrichment, base excision repair (ber, colorectal cancer, mutyh",2,0.5,science,35,3.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,1.0,1.3333333333333333,0.3333333333333333,0.0
36,"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","On August 3 , 2012 the party ( which had no member in the lower house ) in concert with six other minor opposition parties ( People 's Life First , Kizuna Party , Social Democratic Party , Your Party , Japanese Communist Party and the New Renaissance Party ) agreed to submit a no confidence motion against Prime Minister Yoshihiko Noda in an effort to block the passage of the bill raising Japan 's consumption tax from 5 % to 10 % .","japan, new renaissance party, your party, yoshihiko noda, social democratic party, kizuna party, japanese communist party, people 's life first","japan, prime minister yoshihiko noda, kizuna party, japanese communist party, people's life first, social democratic party, new renaissance party, your party",2,0.75,pol,36,3.0,1.0,0.5,1.0,0.5,0.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0
37,"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","The minor planet is named after the Leakey 's , a family of Kenyan paleoanthropologist s : Mary Leakey ( 1913-1996 ) , her husband Louis Leakey ( 1903-1972 ) , and their son Richard Leakey ( born 1944 ) .","richard leakey, leakey, kenyan, mary leakey, minor planet, louis leakey","mary leakey, louis leakey, leakey's, minor planet, richard leakey",2,0.7272727272727273,science,37,3.0,0.0,0.5,0.0,0.5,0.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.3333333333333333,1.0
38,"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","In March 1987 , Western Goals UK had filed a complaint with the Charity Commission for England and Wales against three major British charities , Oxfam , War on Want , and Christian Aid claiming that they were involved in political campaigning work ( which was then contrary to UK charity law ) in support of left-wing organizations due to their campaigns against apartheid in South Africa .","war on want, apartheid, charity commission for england and wales, western goals uk, south africa, british, oxfam, christian aid","british, uk, christian aid, western goals uk, charity commission for england and wales, apartheid, war on want, south africa, oxfam",1,0.9411764705882352,pol,38,3.0,0.0,0.5,1.0,0.5,0.0,1.0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
39,"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous",Rolling Stone magazine ranked him number 13 in its list of 100 Greatest Artists .,"100 greatest artists, rolling stone","100 greatest artists, rolling stone magazine",2,0.5,lit,39,3.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
40,"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","In the same year , he produced the first French language editions of Joseph Conrad ' s Heart of Darkness and Lord Jim .","joseph conrad, french language, lord jim, heart of darkness","lord jim, french, heart of darkness, joseph conrad",1,0.75,lit,40,3.0,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333
41,"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","He has performed at venues including Lincoln Center , Carnegie Hall , CBGB ' s and Madison Square Garden .","cbgb's, lincoln center, madison square garden, carnegie hall","carnegie hall, cbgb, lincoln center, madison square garden",1,0.75,music,41,3.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333
42,"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","They were inducted by Chuck D and LL Cool J on April 14 , 2012 therefore the group didn 't perform ; instead Black Thought , Travie from Gym Class Heroes and Kid Rock performed a medley of their songs .","black thought, chuck d, kid rock, travie, gym class heroes, ll cool j","chuck d, black thought, travie, gym class heroes, ll cool j, medley, kid rock",1,0.9230769230769232,music,42,3.0,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.3333333333333333,0.0,0.0,0.6666666666666666
43,"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","He attended the U.S. Air Force Institute of Technology for a year , earning a bachelor 's degree in aeromechanics , and received his test pilot training at Edwards Air Force Base in California before his assignment as a test pilot at Wright-Patterson Air Force Base in Ohio .","u.s. air force institute of technology, edwards air force base, ohio, wright-patterson air force base, california, aeromechanics","test pilot, california, u.s. air force institute of technology, wright-patterson air force base, edwards air force base, ohio, aeromechanics",2,0.9230769230769232,science,43,3.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0
44,"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","The natural gradient of mathE f ( x ) / math , complying with the Fisher information metric ( an informational distance measure between probability distributions and the curvature of the relative entropy ) , now reads","relative entropy, natural gradient, fisher information metric",fisher information metric,2,0.5,ai,44,3.0,1.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
45,"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","In 1952 , the U.S. Army patented a process for the Preparation of Toxic Ricin , publishing a method of producing this powerful toxin .","preparation of toxic ricin, ricin, u.s. army","u.s. army, preparation of toxic ricin",1,0.8,science,45,3.0,0.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666
46,"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","Since the Google acquisition , the company has notched up a number of significant achievements , perhaps the most notable being the creation of AlphaGo , a program that defeated world champion Lee Sedol at the complex game of Go .","go, lee sedol, google, alphago","the game of go, alphago, google, lee sedol",2,0.75,ai,46,3.0,0.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0
47,"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","Herschbach is a Fellow of the American Academy of Arts and Sciences , the National Academy of Sciences , the American Philosophical Society and the Royal Chemical Society of Great Britain .","fellow of the american academy of arts and sciences, royal chemical society of great britain, herschbach, american philosophical society, national academy of sciences","american philosophical society, american academy of arts and sciences, national academy of sciences, royal chemical society of great britain, herschbach",2,0.8,science,47,3.0,1.0,1.0,1.0,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.3333333333333333
