defn,sentence,list1,list2,gptlist,f1,dataset,id
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","William F. Buckley , Jr and other contributors for the National Review magazine .","william f. buckley jr, national review magazine","william f. buckley , jr, national review",1,0.0,lit,31
"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","In Kota Kinabalu , United Pasokmomogun Kadazandusun Murut Organisation ( UPKO ) led by its Secretary-General Datuk Wilfred Madius Tangau , on 23 September 2008 , joined its 3 other Barisan Nasional ( BN ) counterparts Malaysian Chinese Association , Parti Gerakan Rakyat Malaysia and Malaysian Indian Congress , petitioning Government review of ISA .","wilfred madius tangau, upko, malaysian indian congress, kota kinabalu, bn, malaysian chinese association, parti gerakan rakyat malaysia, barisan nasional, united pasokmomogun kadazandusun murut organisation","malaysian indian congress, barisan nasional (bn, isa, malaysian chinese association, united pasokmomogun kadazandusun murut organisation (upko, datuk wilfred madius tangau, kota kinabalu, parti gerakan rakyat malaysia",2,0.4705882352941176,pol,32
"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","On August 3 , 2012 the party ( which had no member in the lower house ) in concert with six other minor opposition parties ( People 's Life First , Kizuna Party , Social Democratic Party , Your Party , Japanese Communist Party and the New Renaissance Party ) agreed to submit a no confidence motion against Prime Minister Yoshihiko Noda in an effort to block the passage of the bill raising Japan 's consumption tax from 5 % to 10 % .","japan, new renaissance party, your party, yoshihiko noda, social democratic party, kizuna party, japanese communist party, people 's life first","japan, prime minister yoshihiko noda, kizuna party, japanese communist party, people's life first, social democratic party, new renaissance party, your party",2,0.75,pol,36
"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","In March 1987 , Western Goals UK had filed a complaint with the Charity Commission for England and Wales against three major British charities , Oxfam , War on Want , and Christian Aid claiming that they were involved in political campaigning work ( which was then contrary to UK charity law ) in support of left-wing organizations due to their campaigns against apartheid in South Africa .","war on want, apartheid, charity commission for england and wales, western goals uk, south africa, british, oxfam, christian aid","british, uk, christian aid, western goals uk, charity commission for england and wales, apartheid, war on want, south africa, oxfam",1,0.9411764705882352,pol,38
"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","He has performed at venues including Lincoln Center , Carnegie Hall , CBGB ' s and Madison Square Garden .","cbgb's, lincoln center, madison square garden, carnegie hall","carnegie hall, cbgb, lincoln center, madison square garden",1,0.75,music,41
"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","They were inducted by Chuck D and LL Cool J on April 14 , 2012 therefore the group didn 't perform ; instead Black Thought , Travie from Gym Class Heroes and Kid Rock performed a medley of their songs .","black thought, chuck d, kid rock, travie, gym class heroes, ll cool j","chuck d, black thought, travie, gym class heroes, ll cool j, medley, kid rock",1,0.9230769230769232,music,42
"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","In 1952 , the U.S. Army patented a process for the Preparation of Toxic Ricin , publishing a method of producing this powerful toxin .","preparation of toxic ricin, ricin, u.s. army","u.s. army, preparation of toxic ricin",1,0.8,science,45
"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","Although the Kuomintang failed to eliminate the enemy , they did succeeded in eradicating the enemy and temporarily taking the enemy base in the region , though this success was negated by the political fallouts such as failing to achieve its original objective of exterminating the enemy within the region in this first campaign of the full scale Chinese Civil War after World War II .","kuomintang, chinese civil war, world war ii","kuomintang, full scale chinese civil war, world war ii",2,0.6666666666666666,pol,50
"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","Drawing influences from hip hop , dub , pop , Gorillaz released their self-titled debut album in 2001 to worldwide success , spawning successful follow-ups Demon Days ( 2005 ) , Plastic Beach , The Fall ( both released in 2010 ) , Humanz ( 2017 ) , and The Now Now ( 2018 ) .","pop, hip hop, plastic beach, demon days, dub, humanz, the now now, gorillaz, the fall","humanz, the now now, hip hop, dub, demon days, gorillaz, the fall, plastic beach, pop, self-titled debut album",2,0.9473684210526316,music,52
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","The film is based on The Caine Mutiny , the 1951 Pulitzer Prize -winning novel written by Herman Wouk .","the caine mutiny, 1951 pulitzer prize, herman wouk, novel","novel, pulitzer prize, herman wouk, the caine mutiny",1,0.75,lit,53
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","Federico Fellini , Burke and Waller , 12 His films have ranked in polls such as Cahiers du cinéma and Sight & Sound , which lists his 1963 film 8 ½ as the 10th-greatest film .","8 ½, sight & sound, burke, cahiers du cinéma, waller, federico fellini","8 ½, cahiers du cinéma, burke and waller, sight & sound, federico fellini",2,0.7272727272727273,lit,57
"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","The journal has published ground-breaking work in the areas of biomechanics , skin transplantation and neurophysiology , and has published work by Nobel Prize winners Peter Medawar and August Krogh .","journal, august krogh, skin transplantation, peter medawar, biomechanics, neurophysiology, nobel prize","august krogh, skin transplantation, biomechanics, neurophysiology, peter medawar, nobel prize",1,0.9230769230769232,science,58
"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory",Her lab currently has three main projects : identifying targets and mechanisms of expression regulation of the Nocturnin gene ; identifying the mechanism of metabolic control of Nocturnin knockout lean mice ; and defining structural components of the repressor protein Cryptochrome and how regulation of the nuclear entry of the protein contributes to circadian period length .,"nocturnin, cryptochrome, expression regulation, nocturnin knockout lean mice","nocturnin knockout lean mice, circadian period length, repressor protein cryptochrome, nocturnin gene",2,0.25,science,62
"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","He won seven Grammy Award s , seven Brit Awards , six American Music Awards , four MTV Video Music Award s , an Academy Award , and a Golden Globe Award .","academy award, grammy award, golden globe award, brit awards, american music awards, mtv video music award","mtv video music awards, golden globe award, brit awards, grammy awards, american music awards, academy award",2,0.6666666666666666,music,66
"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","During this period he designed album sleeves and additional material for such acts as the Sutherland Brothers , Kevin Coyne , Edgar Broughton Band , Chilli Willi and the Red Hot Peppers , Quiver , the Kursaal Flyers and Michael Moorcock and the Deep Fix .","kevin coyne, chilli willi and the red hot peppers, quiver, edgar broughton band, michael moorcock and the deep fix, sutherland brothers, the kursaal flyers","sutherland brothers, kursaal flyers, quiver, edgar broughton band, deep fix, michael moorcock, chilli willi and the red hot peppers, kevin coyne",2,0.6666666666666666,music,67
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","Baron Cohen 's other work includes voicing King Julien XIII in the Madagascar film series ( 2005-2012 ) and appearing in films such as Talladega Nights : The Ballad of Ricky Bobby ( 2006 ) , Sweeney Todd : The Demon Barber of Fleet Street ( 2007 ) , Hugo ( 2011 ) , and Les Misérables ( 2012 ) .","madagascar film series, sweeney todd: the demon barber of fleet street, king julien xiii, talladega nights: the ballad of ricky bobby, les misérables, hugo, baron cohen","baron cohen, talladega nights : the ballad of ricky bobby, sweeney todd : the demon barber of fleet street, les misérables, madagascar, king julien xiii, hugo",1,0.5714285714285714,lit,70
"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","In 2010 , Goodall through JGI formed a coalition with a number of organizations such as the Wildlife Conservation Society ( WCS ) and the Humane Society of the United States ( HSUS ) and petitioned to list all chimpanzees including those that are captive as endangered .","jgi, goodall, hsus, humane society of the united states, wcs, wildlife conservation society","goodall, wcs, humane society of the united states, hsus, chimpanzees, wildlife conservation society, jgi",2,0.9230769230769232,science,75
"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","In addition to Underwood , American Idol launched the careers of Kellie Pickler , Josh Gracin , Bucky Covington , Kristy Lee Cook , Danny Gokey , Lauren Alaina and Scotty McCreery ( as well as that of occasional country singer Kelly Clarkson ) in the decade , and would continue to launch country careers in the 2010s .","kristy lee cook, underwood, country, american idol, lauren alaina, josh gracin, danny gokey, scotty mccreery, kelly clarkson, bucky covington, kellie pickler","josh gracin, kellie pickler, kelly clarkson, scotty mccreery, kristy lee cook, lauren alaina, danny gokey, bucky covington, american idol, underwood",2,0.9523809523809524,music,76
"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","This was the case , for instance , in the The Weapon Shops of Isher series , the The Mixed Men series , and in single stories such as Heir Apparent ( 1945 ) , whose protagonist was described as a benevolent dictator .","the weapon shops of isher series, the mixed men series, heir apparent","the mixed men, heir apparent, the weapon shops of isher",1,0.3333333333333333,lit,77
"Named entities are phrases that represent the name of a scientist, person, university, organization, country, location, discipline, enzyme, protein, chemical compound, chemical element, event, astronomical object, academic journal, award or theory","He was a fellow of the Society of Experimental Test Pilots ( SETP ) and the American Astronautical Society , as well as an associate fellow of the American Institute of Aeronautics and Astronautics .","fellow of the american institute of aeronautics and astronautics, fellow of the society of experimental test pilots, american astronautical society, setp","society of experimental test pilots (setp, american astronautical society, american institute of aeronautics and astronautics",2,0.2857142857142857,science,78
