,idx,para,entities,preds,meta,f1
5. Harvard University | True | as it is a university",1.0
12,431,An ABC transporter system consist minimally of two components : an ATP-binding domain of ABC transporters and a Transmembrane domain of ABC transporters or Transmembrane domain of ABC transporters .,"['ABC transporter system', 'ATP-binding domain of ABC transporters', 'Transmembrane domain of ABC transporters', 'Transmembrane domain of ABC transporters']","['atp-binding domain of abc transporters', 'transmembrane domain of abc transporters', 'abc transporter system']","1. ABC transporter system | True | as it is a scientific concept related to proteins
2. ATP-binding domain of ABC transporters | True | as it is a component of the ABC transporter system
3. Transmembrane domain of ABC transporters | True | as it is another component involved in the ABC transporter system",1.0
13,14,"Most of the outer irregular moon s of Jupiter and Saturn also have retrograde orbits , as do some of Uranus ' s outer moons .","['irregular moon', 'Jupiter', 'Saturn', 'Uranus']","['outer irregular moons', 'retrograde orbits', 'uranus', 'saturn', 'jupiter']","1. Jupiter | True | as it is an astronomical object
2. Saturn | True | as it is an astronomical object
3. Uranus | True | as it is an astronomical object
4. Outer irregular moons | True | as they are a group of astronomical objects
5. Retrograde orbits | True | as it is a scientific concept with a name",0.6666666666666666
14,144,DNA cytosine methylation is catalyzed by DNA methyltransferase .,"['DNA cytosine methylation', 'DNA methyltransferase']","['cytosine methylation', 'dna methyltransferase', 'dna']","1. DNA | True | as it is a chemical compound
2. Cytosine methylation | True | as it is a scientific process
3. DNA methyltransferase | True | as it is an enzyme",0.4
15,229,"Other proteins that are active outside the cell are various enzymes , including digestive enzymes ( Trypsin , Pepsin ) , extracellular proteinases ( Matrix metalloproteinase s , ADAMTS s , Cathepsin s ) and antioxidant enzymes ( extracellular superoxide dismutase ) .","['digestive enzymes', 'Trypsin', 'Pepsin', 'extracellular proteinases', 'Matrix', 'metalloproteinase', 'ADAMTS', 'Cathepsin', 'antioxidant enzymes', 'superoxide dismutase']","['cathepsin', 'adamts', 'proteins', 'digestive enzymes', 'antioxidant enzymes', 'trypsin', 'extracellular superoxide dismutase', 'extracellular proteinases', 'matrix metalloproteinases', 'pepsin', 'enzymes']","1. proteins | True | as it is a scientific concept
2. enzymes | True | as it is a class of biochemical compounds
3. digestive enzymes | True | as it is a group of enzymes
4. Trypsin | True | as it is an enzyme
5. Pepsin | True | as it is an enzyme
6. extracellular proteinases | True | as it is a group of enzymes
7. Matrix metalloproteinases | True | as it is a group of enzymes
8. ADAMTS | True | as it is a group of enzymes
9. Cathepsin | True | as it is a group of enzymes
10. antioxidant enzymes | True | as it is a group of enzymes
11. extracellular superoxide dismutase | True | as it is an enzyme.",0.6666666666666666
16,439,"In 1848 , de Bary graduated from a Gymnasium at Frankfurt , and began to study medicine at Heidelberg University , continued at University of Marburg .","['de Bary', 'Gymnasium', 'Frankfurt', 'Heidelberg University', 'University of Marburg']","['heidelberg university', 'university of marburg', 'frankfurt', 'gymnasium', 'de bary']","1. 1848 | False | as it is a date
    2. de Bary | True | as it is a person
    3. Gymnasium | True | as it is a type of educational institution
    4. Frankfurt | True | as it is a location
    5. Heidelberg University | True | as it is a university
    6. University of Marburg | True | as it is a university",1.0
17,269,"A proton gradient ( unrelated to the natural temperature and energy gradients aforementioned ) drives a remarkable , turbine like protein , ATP synthase to rotate , capturing energy in usable chemical form .","['proton gradient', 'ATP synthase']","['proton gradient', 'atp synthase', 'temperature gradient', 'energy gradient']","1. proton gradient | True | as it is an abstract scientific concept with a name associated
2. temperature gradient | True | as it is an abstract scientific concept with a name associated
3. energy gradient | True | as it is an abstract scientific concept with a name associated
4. ATP synthase | True | as it is an enzyme
5. chemical form | False | as it is not a specific named entity",0.6666666666666666
18,448,"She is a member of the Australian Antarctic Research Advisory Committee and serves on the Editorial Boards of the international journals : Ecosystems , Global Change Biology , Oecologia , Plant , Cell ; Environment , and Tree Physiology .","['Australian Antarctic Research Advisory Committee', 'Ecosystems', 'Global Change Biology', 'Oecologia', 'Plant', 'Cell', 'Environment', 'Tree Physiology']","['editorial boards', 'tree physiology', 'plant, cell & environment', 'oecologia', 'global change biology', 'ecosystems', 'australian antarctic research advisory committee']","1. Australian Antarctic Research Advisory Committee | True | as it is an organization
2. Editorial Boards | True | as it refers to a group of people responsible for the content and direction of academic journals
3. Ecosystems | True | as it is an academic journal
4. Global Change Biology | True | as it is an academic journal
5. Oecologia | True | as it is an academic journal
6. Plant, Cell & Environment | True | as it is an academic journal (note: the proper name is ""Plant, Cell & Environment"")
7. Tree Physiology | True | as it is an academic journal",0.6666666666666666
19,310,"Herschbach is a Fellow of the American Academy of Arts and Sciences , the National Academy of Sciences , the American Philosophical Society and the Royal Chemical Society of Great Britain .","['Herschbach', 'Fellow of the American Academy of Arts and Sciences', 'National Academy of Sciences', 'American Philosophical Society', 'Royal Chemical Society of Great Britain']","['national academy of sciences', 'herschbach', 'american academy of arts and sciences', 'american philosophical society', 'royal chemical society of great britain']","1. Herschbach | True | as it is a person
2. American Academy of Arts and Sciences | True | as it is an organization
3. National Academy of Sciences | True | as it is an organization
4. American Philosophical Society | True | as it is an organization
5. Royal Chemical Society of Great Britain | True | as it is an organization",0.8
20,411,"Many different types of nanowires exist , including superconducting ( e.g. Yttrium barium copper oxide ) , metallic ( e.g. Ni , Pt , Au ) , semiconducting ( e.g. silicon nanowires ( SiNWs ) , InP , GaN ) and insulating ( e.g. Silicon dioxide , Titanium dioxide ) .","['Yttrium barium copper oxide', 'Ni', 'Pt', 'Au', 'silicon nanowires', 'SiNWs', 'InP', 'GaN', 'Silicon dioxide', 'Titanium dioxide']","['inp', 'silicon nanowires', 'nanowires', 'yttrium barium copper oxide', 'ni', 'silicon dioxide', 'titanium dioxide', 'pt', 'sinws', 'gan', 'au']","1. Nanowires | True | as it is a category of scientific objects
2. Superconducting | False | as it is an adjective describing a property
3. Yttrium barium copper oxide | True | as it is a chemical compound
4. Metallic | False | as it is an adjective describing a property
5. Ni | True | as it is a chemical element (Nickel)
6. Pt | True | as it is a chemical element (Platinum)
7. Au | True | as it is a chemical element (Gold)
8. Semiconducting | False | as it is an adjective describing a property
9. Silicon nanowires | True | as it is a type of nanowire
10. SiNWs | True | as it is an abbreviation (Silicon nanowires)
11. InP | True | as it is a chemical compound (Indium Phosphide)
12. GaN | True | as it is a chemical compound (Gallium Nitride)
13. Insulating | False | as it is an adjective describing a property
14. Silicon dioxide | True | as it is a chemical compound
15. Titanium dioxide | True | as it is a chemical compound",0.9523809523809523
21,374,Sinope was the outermost known moon of Jupiter until the discovery of Megaclite in 2000 .,"['Sinope', 'moon', 'Jupiter', 'Megaclite']","['sinope', 'jupiter', 'megaclite']","1. Sinope | True | as it is an astronomical object (moon of Jupiter)
2. Jupiter | True | as it is a planet (astronomical object)
3. Megaclite | True | as it is an astronomical object (moon)
4. 2000 | False | as it is a date",0.8571428571428571
22,236,"Under normal conditions , there is a lot more Adenosine triphosphate present in the cytoplasm than Adenosine diphosphate , and this arrangement of the NLR proteins prevents the spontaneous exchange of Adenosine diphosphate for Adenosine triphosphate and thus activation of HR .","['Adenosine triphosphate', 'cytoplasm', 'Adenosine diphosphate', 'NLR proteins', 'Adenosine diphosphate', 'Adenosine triphosphate', 'HR']","['adenosine diphosphate', 'hr', 'adenosine triphosphate', 'nlr proteins']","1. Adenosine triphosphate | True | as it is a chemical compound
2. Adenosine diphosphate | True | as it is a chemical compound
3. NLR proteins | True | as it is a group of proteins
4. HR | True | as it is a scientific concept, potentially referring to a cellular process or molecular function",0.8888888888888888
23,207,"Kobe is home to eighteen public and private universities , including Kobe University , Kobe Institute of Computing and Konan University , and eight junior colleges .","['Kobe', 'Kobe University', 'Kobe Institute of Computing', 'Konan University']","['kobe university', 'kobe institute of computing', 'kobe', 'konan university']","1. Kobe | True | as it is a location
2. Kobe University | True | as it is a university
3. Kobe Institute of Computing | True | as it is an organization
4. Konan University | True | as it is a university
5. Junior colleges | False | as it is a category of educational institutions, but not a specific entity",1.0
24,73,"Glenn was an honorary member of the International Academy of Astronautics and a member of the Society of Experimental Test Pilots , Marine Corps Aviation Association , Order of Daedalians , National Space Club board of trustees , National Space Society board of governors , International Association of Holiday Inns , Ohio Democratic Party , State Democratic Executive Committee , Franklin County ( Ohio ) Democratic Party and the 10th District ( Ohio ) Democratic Action Club .","['Glenn', 'International Academy of Astronautics', 'Society of Experimental Test Pilots', 'Marine Corps Aviation Association', 'Order of Daedalians', 'National Space Club', 'National Space Society', 'International Association of Holiday Inns', 'Ohio Democratic Party', 'State Democratic Executive Committee', 'Franklin County', 'Ohio', 'Democratic Party', '10th District', 'Ohio', 'Democratic Action Club']","['order of daedalians', 'franklin county (ohio) democratic party', '10th district (ohio) democratic action club', 'glenn', 'society of experimental test pilots', 'state democratic executive committee', 'national space society', 'ohio democratic party', 'national space club', 'international association of holiday inns', 'marine corps aviation association', 'international academy of astronautics']","1. Glenn | True | as it is a person
2. International Academy of Astronautics | True | as it is an organization
3. Society of Experimental Test Pilots | True | as it is an organization
4. Marine Corps Aviation Association | True | as it is an organization
5. Order of Daedalians | True | as it is an organization
6. National Space Club | True | as it is an organization
7. Board of Trustees | False | as it is a position within an organization
8. National Space Society | True | as it is an organization
9. Board of Governors | False | as it is a position within an organization
10. International Association of Holiday Inns | True | as it is an organization
11. Ohio Democratic Party | True | as it is an organization
12. State Democratic Executive Committee | True | as it is an organization
13. Franklin County (Ohio) Democratic Party | True | as it is an organization
14. 10th District (Ohio) Democratic Action Club | True | as it is an organization",0.7407407407407407
25,369,"Cadherin s are calcium- dependent , homophilic cell adhesion molecules that form complexes with cytosolic partners known as catenin s .","['Cadherin', 'calcium-', 'cell adhesion molecules', 'catenin']","['catenins', 'cadherins', 'calcium', 'cell adhesion molecules']","1. Cadherins | True | as they are proteins
    2. Calcium | True | as it is a chemical element
    3. Cell adhesion molecules | True | as they are a group of proteins
    4. Complexes | False | as it is a term for interactions among molecules, not an entity itself
    5. Cytosolic partners | False | as it is a term describing a characteristic of molecular interaction and not an entity itself
    6. Catenins | True | as they are proteins",0.5
26,235,It was nominated for the 2002 Hugo Award for Best Novel and tied for the 2002 John W. Campbell Memorial Award for Best Science Fiction Novel .,"['Hugo Award for Best Novel', 'John W. Campbell Memorial Award for Best Science Fiction Novel']","['2002 john w. campbell memorial award', '2002 hugo award']","1. 2002 Hugo Award | True | as it is an award
2. Best Novel | False | as it is an adjective and a category not a specific entity
3. 2002 John W. Campbell Memorial Award | True | as it is an award
4. Best Science Fiction Novel | False | as it is an adjective and a category, not a specific entity",0.0
27,125,"Indeed , almost the entire generation of physicists and mathematicians who came to maturity in the 1820s - Pouillet , Savart , Gabriel Lamé , Claude-Louis Navier , Joseph Liouville , Cauchy - seem to have adopted the theory immediately .","['Pouillet', 'Savart', 'Gabriel Lamé', 'Claude-Louis Navier', 'Joseph Liouville', 'Cauchy']","['pouillet', 'cauchy', 'claude-louis navier', 'gabriel lamé', 'joseph liouville', 'savart']","1. Physicists | False | as it is a general term, not referring to a specific person or group
    2. Mathematicians | False | as it is a general term, not referring to a specific person or group
    3. Pouillet | True | as it is a person
    4. Savart | True | as it is a person
    5. Gabriel Lamé | True | as it is a person
    6. Claude-Louis Navier | True | as it is a person
    7. Joseph Liouville | True | as it is a person
    8. Cauchy | True | as it is a person
    9. Theory | False | as it is not specified which theory is being referred to",1.0
28,156,"An approved residency program and certification ( in the U.S. , the American Board of Pathology or the American Osteopathic Board of Pathology ) is usually required to obtain employment or hospital privileges .","['U.S.', 'American Board of Pathology', 'American Osteopathic Board of Pathology']","['american osteopathic board of pathology', 'u.s', 'american board of pathology']","1. U.S. | True | as it is a country
2. American Board of Pathology | True | as it is an organization
3. American Osteopathic Board of Pathology | True | as it is an organization
4. Residency program | False | as it is a general term and not a specific entity
5. Certification | False | as it is a general term and not a specific entity
6. Employment | False | as it is a general term and not a specific entity
7. Hospital privileges | False | as it is a general term and not a specific entity",1.0
29,390,"Pneumatic chemistry developed in the eighteenth century with the work of scientists such as Stephen Hales , Joseph Black , Joseph Priestley , and Antoine-Laurent Lavoisier , and others .","['Pneumatic chemistry', 'Stephen Hales', 'Joseph Black', 'Joseph Priestley', 'Antoine-Laurent Lavoisier']","['stephen hales', 'joseph priestley', 'antoine-laurent lavoisier', 'pneumatic chemistry', 'joseph black']","1. Pneumatic chemistry | True | as it is a scientific discipline
    2. Stephen Hales | True | as it is a person
    3. Joseph Black | True | as it is a person
    4. Joseph Priestley | True | as it is a person
    5. Antoine-Laurent Lavoisier | True | as it is a person
    6. Eighteenth century | False | as it is a time period",1.0
30,191,Adjoa Andoh and Penelope Wilton reprise supporting roles as Martha 's mother Francine Jones and former Prime Minister Harriet Jones respectively .,"['Adjoa Andoh', 'Penelope Wilton', 'Martha', 'Francine Jones', 'Harriet Jones']","['penelope wilton', 'adjoa andoh']","1. Adjoa Andoh | True | as it is a person
2. Penelope Wilton | True | as it is a person
3. Martha | False | as it is likely referring to a character and not an entity
4. Francine Jones | False | as it is likely referring to a character and not an entity
5. Prime Minister | False | as it is a title or position, not an entity
6. Harriet Jones | False | as it is likely referring to a character and not an entity",0.5714285714285714
31,299,"A Chamberland filter , also known as a Louis Pasteur -Chamberland filter , is a porcelain water filter invented by Charles Chamberland in 1884 .","['Chamberland filter', 'Louis Pasteur -Chamberland filter', 'porcelain water filter', 'Charles Chamberland']","['chamberland filter', 'louis pasteur-chamberland filter', 'charles chamberland', 'porcelain water filter']","1. Chamberland filter | True | as it is a scientific invention
2. Louis Pasteur-Chamberland filter | True | as it is an alternative name for Chamberland filter (scientific invention)
3. porcelain water filter | True | as it is a description for the type of filter (scientific invention)
4. Charles Chamberland | True | as it is a person
5. 1884 | False | as it is a date",0.75
32,3,"He attended the U.S. Air Force Institute of Technology for a year , earning a bachelor 's degree in aeromechanics , and received his test pilot training at Edwards Air Force Base in California before his assignment as a test pilot at Wright-Patterson Air Force Base in Ohio .","['U.S. Air Force Institute of Technology', 'aeromechanics', 'Edwards Air Force Base', 'California', 'Wright-Patterson Air Force Base', 'Ohio']","['test pilot', 'aeromechanics', 'california', 'ohio', 'u.s. air force institute of technology', 'wright-patterson air force base', 'edwards air force base']","1. U.S. Air Force Institute of Technology | True | as it is an organization
2. Aeromechanics | True | as it is a scientific discipline
3. Edwards Air Force Base | True | as it is a location
4. California | True | as it is a location
5. Test pilot | True | as it is a profession, which can be considered an entity in certain contexts
6. Wright-Patterson Air Force Base | True | as it is a location
7. Ohio | True | as it is a location",0.9230769230769231
33,244,"The journal has published ground-breaking work in the areas of biomechanics , skin transplantation and neurophysiology , and has published work by Nobel Prize winners Peter Medawar and August Krogh .","['biomechanics', 'skin transplantation', 'neurophysiology', 'Nobel Prize', 'Peter Medawar', 'August Krogh']","['skin transplantation', 'peter medawar', 'journal', 'august krogh', 'biomechanics', 'neurophysiology', 'nobel prize']","1. Journal | True | as it is an academic journal
2. Biomechanics | True | as it is a scientific discipline
3. Skin transplantation | True | as it is a scientific discipline
4. Neurophysiology | True | as it is a scientific discipline
5. Nobel Prize | True | as it is an award
6. Peter Medawar | True | as it is a person
7. August Krogh | True | as it is a person",0.9230769230769231
34,86,"The Voyager program is an American scientific program that employs two robotic probes , Voyager 1 and Voyager 2 , launched in 1977 to take advantage of a favorable alignment of Jupiter , Saturn , Uranus , and Neptune .","['Voyager program', 'American', 'robotic', 'probes', 'Voyager', '1', 'Voyager', '2', 'Jupiter', 'Saturn', 'Uranus', 'Neptune']","['voyager 1', 'voyager program', 'neptune', 'voyager 2', 'uranus', 'saturn', 'jupiter']","1. Voyager program | True | as it is an organization or scientific program
2. American | False | as it is an adjective
3. robotic probes | False | as this refers to a general description of the probes, and not a specific entity
4. Voyager 1 | True | as it is an astronomical object, a spacecraft
5. Voyager 2 | True | as it is an astronomical object, another spacecraft
6. 1977 | False | as it is a date
7. Jupiter | True | as it is an astronomical object, a planet
8. Saturn | True | as it is an astronomical object, a planet
9. Uranus | True | as it is an astronomical object, a planet
10. Neptune | True | as it is an astronomical object, a planet",0.5555555555555556
35,355,Her lab currently has three main projects : identifying targets and mechanisms of expression regulation of the Nocturnin gene ; identifying the mechanism of metabolic control of Nocturnin knockout lean mice ; and defining structural components of the repressor protein Cryptochrome and how regulation of the nuclear entry of the protein contributes to circadian period length .,"['expression regulation', 'Nocturnin', 'Nocturnin knockout lean mice', 'Cryptochrome']","['nocturnin knockout lean mice', 'nocturnin gene', 'circadian period length', 'repressor protein cryptochrome']","1. Nocturnin gene | True | as it is a gene or protein
2. Nocturnin knockout lean mice | True | as it is a subject of scientific research
3. repressor protein Cryptochrome | True | as it is a protein
4. circadian period length | True | as it is a scientific discipline or concept",0.25
36,37,"British observers allegedly exclaimed , Maxwell should have seen this ! Of the eleven diplômes d 'honneur , seven went to non-French exhibitors , including Werner Siemens , Thomas Edison , Alexander Graham Bell and William Thomson .","['British', 'Maxwell', 'non-French', 'Werner Siemens', 'Thomas Edison', 'Alexander Graham Bell', 'William Thomson']","['thomas edison', 'maxwell', 'william thomson', 'alexander graham bell', 'werner siemens', ""diplômes d'honneur""]","1. British observers | False | phrase does not refer to a specific person, organization or event
2. Maxwell | True | as it is a person (James Clerk Maxwell)
3. diplômes d'honneur | True | as it is an award
4. Werner Siemens | True | as it is a person
5. Thomas Edison | True | as it is a person
6. Alexander Graham Bell | True | as it is a person
7. William Thomson | True | as it is a person",0.7692307692307693
37,422,"CCR1 was the first CC chemokine receptor identified and binds multiple inflammatory / inducible ( see inducible gene ) CC chemokines ( including CCL4 , CCL5 , CCL6 , CCL14 , CCL15 , CCL16 and CCL23 ) .","['CCR1', 'CC chemokine receptor', 'CC chemokines', 'CCL4', 'CCL5', 'CCL6', 'CCL14', 'CCL15', 'CCL16', 'CCL23']","['ccl6', 'ccr1', 'inducible gene', 'ccl5', 'cc chemokines', 'ccl16', 'ccl14', 'ccl23', 'cc chemokine receptor', 'ccl4', 'ccl15']","1. CCR1 | True | as it is a protein (chemokine receptor)
    2. CC chemokine receptor | True | as it is a category of protein
    3. inflammatory / inducible | False | as it is an adjective describing a property of chemokines
    4. inducible gene | True | as it is a scientific concept with a specific name
    5. CC chemokines | True | as it is a category of chemical compounds
    6. CCL4 | True | as it is a chemical compound (chemokine)
    7. CCL5 | True | as it is a chemical compound (chemokine)
    8. CCL6 | True | as it is a chemical compound (chemokine)
    9. CCL14 | True | as it is a chemical compound (chemokine)
    10. CCL15 | True | as it is a chemical compound (chemokine)
    11. CCL16 | True | as it is a chemical compound (chemokine)
    12. CCL23 | True | as it is a chemical compound (chemokine)",0.9523809523809523
38,118,"The Dirac Medal of the ICTP is not awarded to Nobel Prize , Fields Medal ists , or Wolf Prize winners .","['Dirac Medal of the ICTP', 'Nobel Prize', 'Fields Medal', 'Wolf Prize']","['fields medal', 'dirac medal', 'ictp', 'wolf prize', 'nobel prize']","1. Dirac Medal | True | as it is an award
2. ICTP | True | as it is an organization (International Centre for Theoretical Physics)
3. Nobel Prize | True | as it is an award
4. Fields Medal | True | as it is an award
5. Wolf Prize | True | as it is an award",0.6666666666666666
39,356,"He has also received a MacArthur Fellowship and is an honorary member of the American Institute of Architects ( AIA ) , a Foreign Member of the Royal Swedish Academy of Engineering Sciences , and an Honorary Senior Fellow of the Design Futures Council .","['MacArthur Fellowship', 'American Institute of Architects', 'AIA', 'Royal Swedish Academy of Engineering Sciences', 'Fellow of the Design Futures Council']","['american institute of architects (aia', 'macarthur fellowship', 'design futures council', 'royal swedish academy of engineering sciences']","1. MacArthur Fellowship | True | as it is an award
2. American Institute of Architects (AIA) | True | as it is an organization
3. Royal Swedish Academy of Engineering Sciences | True | as it is an organization
4. Design Futures Council | True | as it is an organization",0.4444444444444444
40,249,Observation of perception related neurons in prefrontal cortex is consistent with the theory of Christof Koch and Francis Crick who postulated that neural correlate of consciousness resides in prefrontal cortex .,"['prefrontal cortex', 'Christof Koch', 'Francis Crick', 'prefrontal cortex']","['prefrontal cortex', 'neural correlate of consciousness', 'christof koch', 'francis crick']","1. Observation | False | as it is a verb
    2. Perception | False | as it is an abstract concept without a specific name
    3. Neurons | False | an abstract concept, too general
    4. Prefrontal cortex | True | as it is a specific location in the brain
    5. Theory | False | as it is an abstract concept
    6. Christof Koch | True | as it is a person
    7. Francis Crick | True | as it is a person
    8. Neural correlate of consciousness | True | as it is a scientific theory with a specific name
    9. Prefrontal cortex | True | as it is a specific location in the brain (repeated)",0.8571428571428571
41,263,These can be further subdivided into the gas giant s ( Jupiter and Saturn ) and the ice giant s ( Uranus and Neptune ) that have large icy cores .,"['gas giant', 'Jupiter', 'Saturn', 'ice giant', 'Uranus', 'Neptune']","['gas giants', 'neptune', 'uranus', 'saturn', 'jupiter', 'ice giants']","1. Gas giants | True | as it is a category of astronomical objects
2. Jupiter | True | as it is an astronomical object
3. Saturn | True | as it is an astronomical object
4. Ice giants | True | as it is a category of astronomical objects
5. Uranus | True | as it is an astronomical object
6. Neptune | True | as it is an astronomical object
7. Icy cores | False | as it is a property of an object, not an entity",0.6666666666666666
